GEOID,GEOID2,NAME. County_Covariate_Data3,Median_age,Total_population. County_Covariate_Data3,Renters_occupied_percentage,Bachelors_percentage,Highschool_graduate_percentage,Below_highschool_percentage,White_alone_percentage,Black_or_African_American_percentage,Hispanic_or_Latino_percentage,American_Indian_and_Alaska_Native_percentage,Asian_percentage,Native_Hawaiian_and_other_Pacific_Island_percentage,Some_other_race_alone_percentage,Two_or_more_races_percentage,White_alone_not_hispanic_or_latino_percentage,Male_female_ratio,NAME. State_Population2,Total_population. State_Population2
47,181,"Wayne County, Tennessee",44,16638,23.283028004196595,4.8202909003486,34.10866690708018,14.3166245943022,90.89433826181032,5.950234403173458,2.163721601153985,0.09616540449573266,0.3786512802019473,0.144248106743599,0.5529510758504628,1.983411467724486,2.163721601153985,1.218991731128301,Tennessee,6772268
47,183,"Weakley County, Tennessee",38.5,33377,46.18717121259007,7.4931839290529405,28.483686370854183,8.203253737603738,88.25838152020853,8.541810228600532,2.7444048296731283,0.32956826557210056,0.2726428378823741,0.06890972825598465,0.8568774904874614,1.671809928993019,2.7444048296731283,0.9653182594359065,Tennessee,6772268
47,185,"White County, Tennessee",43.3,27087,21.311546651601407,5.500793738693838,28.91793111086499,13.382803558902795,94.92007235943441,1.8717465943072324,2.6248754014841067,0.13290508361944844,0.23258389633403478,0.07752796544467826,0.2141248569424447,2.5510392439177467,2.6248754014841067,0.9242025999857925,Tennessee,6772268
47,187,"Williamson County, Tennessee",39.3,232380,16.24581710017944,24.890696273345384,8.507616834495222,3.1216111541440745,87.06644289525777,4.09114381616318,4.863585506497977,0.38600568035114896,4.676392116361132,0.0210861519924262,0.7655564162148205,2.993372923659523,4.863585506497977,0.9614430170332732,Tennessee,6772268
47,189,"Wilson County, Tennessee",40.2,140604,24.16866218740071,16.097692811015335,19.333731615032292,5.478507012602771,86.46909049529174,6.880316349463741,4.4721345054194765,0.28093084122784556,1.8669454638559357,0.015646781030411654,1.70549913231487,2.781570936815453,4.4721345054194765,0.9617155453860535,Tennessee,6772268
48,001,"Anderson County, Texas",39.3,57917,33.09238313915582,5.248890653866741,28.52357684272321,12.792444360032459,71.24505758240241,20.916138612151872,17.88766683357218,0.4092062779494794,0.6043130687017628,0.015539478909473901,2.3481879240982786,4.461557055786729,17.88766683357218,1.5764936162640686,Texas,28635442
48,003,"Andrews County, Texas",32.3,18227,35.639279125869166,6.550721457178911,20.058155483623196,13.984747901464859,81.2530860810885,2.2933011466505735,56.8607011576233,0,0.3127228836341691,0.14264552586821747,10.243046030613923,5.75519833214462,56.8607011576233,0.9839991292043104,Texas,28635442
48,005,"Angelina County, Texas",37.6,87119,43.77713000221793,8.210608478058747,20.241279169871095,11.18125781976377,77.4389054052503,15.144801937579633,22.289052904647665,0.3099209127744809,1.1111238650581388,0.005739276162490386,2.777809662645347,3.2116989405296206,22.289052904647665,0.9574664090235024,Texas,28635442
48,007,"Aransas County, Texas",50,24220,22.333024118738404,11.56895127993394,21.407927332782826,9.479768786127167,87.86952931461602,0.3261767134599504,27.98926507018993,0.9000825763831544,1.1354252683732453,0,3.571428571428571,6.1973575557390586,27.98926507018993,0.9805380652547224,Texas,28635442
48,009,"Archer County, Texas",44.2,8754,18.57909851417156,10.189627598811972,25.851039524788668,6.728352753027187,94.45967557687915,1.0966415352981496,8.213388165410098,1.462188713730866,0.17135023989033585,0,0.4569339730408956,2.3532099611606125,8.213388165410098,1.006417602567041,Texas,28635442
